country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Portugal,,,,,,,,,,,,,,,,,,1.36M,1.49M,1.5M,1.89M,1.94M,2.19M,2.49M,3.1M
Paraguay,,,,,,,,,,,,1.53M,1.65M,1.82M,1.76M,2.07M,2.48M,3.06M,4.04M,4.3M,5.27M,5.87M,6.2M,4.27M,4.34M
French Polynesia,63k,65k,,,,,,,,,,,,,88k,89k,84k,83k,,48k,55k,48k,55k,47k,63k
Romania,5.74M,5.75M,6.24M,6.89M,6.27M,6.39M,6.41M,5.76M,6.5M,6.97M,7.14M,8.91M,11M,13.1M,11.7M,10.9M,10.9M,11.1M,11.4M,12.3M,13.1M,16.1M,20M,21M,23.1M
Russia,21.3M,12.3M,11.2M,10.6M,12.6M,18.4M,18M,20.4M,20.6M,24.5M,28.4M,29.1M,34.3M,36.5M,34.3M,39.3M,43.7M,47.8M,54.1M,45.9M,34.5M,31.7M,39.6M,42M,45.3M
Saudi Arabia,,,,,,,,,,4.23M,5.01M,2.34M,4.82M,4.71M,6.47M,18.6M,15.9M,20.1M,22.5M,22.3M,25.1M,27.6M,28.7M,27.4M,27.2M
Sudan,195k,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,2.87M,3.31M,3.67M,3.75M,3.97M,4.44M,4.36M,4.4M,4.22M,5.17M,5.16M,5.53M,6.02M,6.83M,6.96M,7.34M,7.75M,8.05M,8.65M,8.9M,9.13M,9.47M,9.89M,10.4M,10.7M
Sierra Leone,,,6000,7000,13k,13k,20k,27k,13k,28k,63k,67k,71k,73k,72k,76k,99k,104k,111k,93k,61k,92k,110k,112k,122k
El Salvador,348k,492k,627k,868k,787k,923k,933k,1M,940k,1.08M,1.24M,1.24M,1.01M,,1.34M,1.42M,1.47M,1.46M,1.51M,1.51M,1.62M,1.8M,1.87M,1.79M,1.9M
Sao Tome and Principe,,,,,,,,,,,,,8600,10.3k,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,2.99M,3.15M,3.6M,3.68M,3.23M,2.69M,3.29M,2.69M,2.13M,2.41M,2.78M,3.1M,3.87M,4.66M,5.21M
Slovenia,,,,,,,,,,,6.74M,6.81M,5.57M,5.49M,5.58M,5.34M,5.07M,4.46M,4.44M,4.67M,4.91M,5.41M,5.41M,5.41M,6.05M
Sweden,,,,,,,,,,,,,,,,,,,,,,,22.1M,19.9M,19.1M
Eswatini,,,,,,,,,,,1.08M,1.07M,1.13M,1.18M,1.25M,1.14M,1.26M,1.4M,1.57M,1.66M,1.71M,1.79M,1.75M,1.72M,1.72M
Seychelles,31k,29k,30k,31k,32k,36k,41k,53k,50k,48k,52k,55k,58k,54k,49k,59k,48k,45k,47k,50k,56k,68k,74k,72k,76k
Syria,1.75M,1.87M,2.3M,2.41M,2.99M,3.86M,3.49M,3.3M,4M,4.31M,4.56M,4.04M,4.2M,5.25M,5.21M,6.26M,,,,,,,,,
Chad,,,,,,,,,,,,,,58k,66k,39k,76k,79k,,,,56k,52k,,
Togo,,,,,,,,,,,,,,,,,,,,,,191k,216k,236k,269k
Thailand,1.82M,1.84M,1.66M,1.41M,1.66M,1.91M,2.01M,2.25M,2.15M,2.71M,3.05M,3.38M,4.02M,3.91M,4.65M,5.45M,5.4M,5.72M,5.97M,6.44M,6.79M,8.2M,8.96M,9.97M,10.4M
Tajikistan,,,,,4100,6400,2700,,,,,,,,,,,15k,15k,19k,16k,22k,31k,31k,
Turkmenistan,21k,29k,31k,357k,,78k,111k,79k,34k,32k,33k,33k,38k,,,,,,,,,,,,
Trinidad and Tobago,261k,248k,,,,,,,,,,,,,270k,273k,,,,,,,,,
Tunisia,1.78M,1.43M,1.38M,1.53M,1.48M,1.63M,1.67M,1.94M,2.27M,2.31M,2.24M,2.3M,2.74M,3.12M,2.62M,2.25M,2.3M,2.9M,2.87M,2.64M,,1.83M,,2.52M,2.78M
Turkey,3.98M,4.26M,4.63M,4.6M,4.76M,5.28M,4.86M,5.13M,5.93M,7.3M,8.25M,8.28M,4.96M,4.89M,5.56M,6.56M,6.28M,5.8M,7.53M,7.98M,8.75M,7.89M,8.89M,8.38M,9.65M
